"ticker"	"date"	"adjClose"
"AAPL"	2015-12-31	98.1154202629
"AAPL"	2016-01-29	90.7329945696
"AAPL"	2016-02-29	90.6122699785
"AAPL"	2016-03-31	102.1391178504
"AAPL"	2016-04-29	87.8477007734
"AAPL"	2016-05-31	94.155107357
"AAPL"	2016-06-30	90.1384765004
"AAPL"	2016-07-29	98.256596612
"AAPL"	2016-08-31	100.5772270688
"AAPL"	2016-09-30	107.1654620182
"AAPL"	2016-10-31	107.6299562808
"AAPL"	2016-11-30	105.310879557
"AAPL"	2016-12-30	110.3610755546
"AAPL"	2017-01-31	115.6304310011
"AAPL"	2017-02-28	131.0951521426
"AAPL"	2017-03-31	137.4781338551
"AAPL"	2017-04-28	137.4685641674
"AAPL"	2017-05-31	146.7847798003
"AAPL"	2017-06-30	138.3866456327
"AAPL"	2017-07-31	142.912413588
"AAPL"	2017-08-31	158.2243139327
"AAPL"	2017-09-29	148.6922638006
"AAPL"	2017-10-31	163.0868172389
"AAPL"	2017-11-30	166.3958557264
"AAPL"	2017-12-29	163.8590088134
"AAPL"	2018-01-31	162.1161368884
"AAPL"	2018-02-28	173.1615346291
"AAPL"	2018-03-30	163.1093772742
"AAPL"	2018-04-30	160.6595284797
"AAPL"	2018-05-31	182.3711599849
"AAPL"	2018-06-29	180.6535314647
"AAPL"	2018-07-31	185.7088244958
"AAPL"	2018-08-31	222.9313013748
"AAPL"	2018-09-28	221.080314424
"AAPL"	2018-10-31	214.3423301801
"AAPL"	2018-11-30	175.5061502062
"AAPL"	2018-12-31	155.0248635543
"AAPL"	2019-01-31	163.5751127804
"AAPL"	2019-02-28	170.8985855879
"AAPL"	2019-03-29	187.480140528
"AAPL"	2019-04-30	198.0607517755
"AAPL"	2019-05-31	173.4683901295
"AAPL"	2019-06-28	196.1093492571
"AAPL"	2019-07-31	211.0910254938
"AAPL"	2019-08-30	207.6227382465
"AAPL"	2019-09-30	222.7712210648
"AAPL"	2019-10-31	247.4285348577
"AAPL"	2019-11-29	266.6085333541
"AAPL"	2019-12-31	292.9451667706
"AAPL"	2020-01-31	308.7670988155
"AAPL"	2020-02-28	319
"MSFT"	2015-12-31	51.1677824618
"MSFT"	2016-01-29	50.8080954545
"MSFT"	2016-02-29	47.2559743735
"MSFT"	2016-03-31	51.2961372769
"MSFT"	2016-04-29	46.3179135615
"MSFT"	2016-05-31	49.575814533
"MSFT"	2016-06-30	47.8640458425
"MSFT"	2016-07-29	53.0180597685
"MSFT"	2016-08-31	54.0845247271
"MSFT"	2016-09-30	54.2163004574
"MSFT"	2016-10-31	56.4000125592
"MSFT"	2016-11-30	57.0957963454
"MSFT"	2016-12-30	58.8770790724
"MSFT"	2017-01-31	61.2552810112
"MSFT"	2017-02-28	60.9866071297
"MSFT"	2017-03-31	62.7786487271
"MSFT"	2017-04-28	65.2570041279
"MSFT"	2017-05-31	66.9464952664
"MSFT"	2017-06-30	66.0741970033
"MSFT"	2017-07-31	69.6880040931
"MSFT"	2017-08-31	72.0539990054
"MSFT"	2017-09-29	71.7841699333
"MSFT"	2017-10-31	80.1585079212
"MSFT"	2017-11-30	81.5230943835
"MSFT"	2017-12-29	82.8500118042
"MSFT"	2018-01-31	92.0222074061
"MSFT"	2018-02-28	91.2412536665
"MSFT"	2018-03-30	88.8086725193
"MSFT"	2018-04-30	90.9979955517
"MSFT"	2018-05-31	96.590311062
"MSFT"	2018-06-29	96.3655460727
"MSFT"	2018-07-31	103.6655220302
"MSFT"	2018-08-31	110.201510517
"MSFT"	2018-09-28	112.2028554957
"MSFT"	2018-10-31	104.786106457
"MSFT"	2018-11-30	109.265531161
"MSFT"	2018-12-31	100.0820633062
"MSFT"	2019-01-31	102.9001661028
"MSFT"	2019-02-28	110.8627353307
"MSFT"	2019-03-29	116.7111577694
"MSFT"	2019-04-30	129.2392505061
"MSFT"	2019-05-31	122.8381061301
"MSFT"	2019-06-28	133.0481298285
"MSFT"	2019-07-31	135.3424055817
"MSFT"	2019-08-30	137.3916818757
"MSFT"	2019-09-30	138.5577073203
"MSFT"	2019-10-31	142.8829640978
"MSFT"	2019-11-29	151.38
"MSFT"	2019-12-31	157.7
"MSFT"	2020-01-31	170.23
"MSFT"	2020-02-28	187.23
"AMZN"	2015-12-31	675.89
"AMZN"	2016-01-29	587
"AMZN"	2016-02-29	552.52
"AMZN"	2016-03-31	593.64
"AMZN"	2016-04-29	659.59
"AMZN"	2016-05-31	722.79
"AMZN"	2016-06-30	715.62
"AMZN"	2016-07-29	758.81
"AMZN"	2016-08-31	769.16
"AMZN"	2016-09-30	837.31
"AMZN"	2016-10-31	789.82
"AMZN"	2016-11-30	750.57
"AMZN"	2016-12-30	749.87
"AMZN"	2017-01-31	823.48
"AMZN"	2017-02-28	845.04
"AMZN"	2017-03-31	886.54
"AMZN"	2017-04-28	924.99
"AMZN"	2017-05-31	994.62
"AMZN"	2017-06-30	968
"AMZN"	2017-07-31	987.78
"AMZN"	2017-08-31	980.6
"AMZN"	2017-09-29	961.35
"AMZN"	2017-10-31	1105.28
"AMZN"	2017-11-30	1176.75
"AMZN"	2017-12-29	1169.47
"AMZN"	2018-01-31	1450.89
"AMZN"	2018-02-28	1512.45
"AMZN"	2018-03-30	1447.34
"AMZN"	2018-04-30	1566.13
"AMZN"	2018-05-31	1629.62
"AMZN"	2018-06-29	1699.8
"AMZN"	2018-07-31	1777.44
"AMZN"	2018-08-31	2012.71
"AMZN"	2018-09-28	2003
"AMZN"	2018-10-31	1598.01
"AMZN"	2018-11-30	1690.17
"AMZN"	2018-12-31	1501.97
"AMZN"	2019-01-31	1718.73
"AMZN"	2019-02-28	1639.83
"AMZN"	2019-03-29	1780.75
"AMZN"	2019-04-30	1926.52
"AMZN"	2019-05-31	1775.07
"AMZN"	2019-06-28	1893.63
"AMZN"	2019-07-31	1866.78
"AMZN"	2019-08-30	1776.29
"AMZN"	2019-09-30	1735.91
"AMZN"	2019-10-31	1776.66
"AMZN"	2019-11-29	1800.8
"AMZN"	2019-12-31	1847.84
"AMZN"	2020-01-31	2008.72
"AMZN"	2020-02-28	2155.67
"FB"	2015-12-31	104.66
"FB"	2016-01-29	112.21
"FB"	2016-02-29	106.92
"FB"	2016-03-31	114.1
"FB"	2016-04-29	117.58
"FB"	2016-05-31	118.81
"FB"	2016-06-30	114.28
"FB"	2016-07-29	123.94
"FB"	2016-08-31	126.12
"FB"	2016-09-30	128.27
"FB"	2016-10-31	130.99
"FB"	2016-11-30	118.42
"FB"	2016-12-30	115.05
"FB"	2017-01-31	130.32
"FB"	2017-02-28	135.54
"FB"	2017-03-31	142.05
"FB"	2017-04-28	150.25
"FB"	2017-05-31	151.46
"FB"	2017-06-30	150.98
"FB"	2017-07-31	169.25
"FB"	2017-08-31	171.97
"FB"	2017-09-29	170.87
"FB"	2017-10-31	180.06
"FB"	2017-11-30	177.18
"FB"	2017-12-29	176.46
"FB"	2018-01-31	186.89
"FB"	2018-02-28	178.32
"FB"	2018-03-30	159.79
"FB"	2018-04-30	172
"FB"	2018-05-31	191.78
"FB"	2018-06-29	194.32
"FB"	2018-07-31	172.58
"FB"	2018-08-31	175.73
"FB"	2018-09-28	164.46
"FB"	2018-10-31	151.79
"FB"	2018-11-30	140.61
"FB"	2018-12-31	131.09
"FB"	2019-01-31	166.69
"FB"	2019-02-28	161.45
"FB"	2019-03-29	166.69
"FB"	2019-04-30	193.4
"FB"	2019-05-31	177.47
"FB"	2019-06-28	193
"FB"	2019-07-31	194.23
"FB"	2019-08-30	185.67
"FB"	2019-09-30	178.08
"FB"	2019-10-31	191.65
"FB"	2019-11-29	201.64
"FB"	2019-12-31	205.25
"FB"	2020-01-31	201.91
"FB"	2020-02-28	217.8
"BRK-B"	2015-12-31	132.04
"BRK-B"	2016-01-29	129.77
"BRK-B"	2016-02-29	134.17
"BRK-B"	2016-03-31	141.88
"BRK-B"	2016-04-29	145.48
"BRK-B"	2016-05-31	140.54
"BRK-B"	2016-06-30	144.79
"BRK-B"	2016-07-29	144.27
"BRK-B"	2016-08-31	150.49
"BRK-B"	2016-09-30	144.47
"BRK-B"	2016-10-31	144.3
"BRK-B"	2016-11-30	157.44
"BRK-B"	2016-12-30	162.98
"BRK-B"	2017-01-31	164.14
